month,district,pincode,variety,temperature,rainfall,humidity,water_availability,suitability
1,Thiruvananthapuram,695001,Panniyur 1,24.9,63.0,69.2,High,Plant with Care
1,Thiruvananthapuram,695001,Panniyur 1,23.0,62.0,69.9,Low,Not Recommended
1,Thiruvananthapuram,695001,Panniyur 1,22.4,71.9,80.4,High,Plant with Care
1,Thiruvananthapuram,695001,Panniyur 1,28.1,49.5,84.6,Low,Not Recommended
1,Thiruvananthapuram,695001,Panniyur 1,25.3,64.5,55.1,Medium,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 1,24.2,100.9,75.3,High,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 1,23.2,25.3,48.9,Medium,Not Recommended
1,Thiruvananthapuram,695014,Panniyur 1,25.8,137.2,72.3,Low,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 1,27.2,78.5,60.9,High,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 1,26.5,31.7,76.6,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 1,21.9,116.1,61.7,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 1,21.9,0.0,75.9,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 1,22.5,30.6,74.5,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 1,21.8,31.5,69.7,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 1,25.1,59.6,69.4,High,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 1,24.2,106.2,76.3,Low,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 1,25.5,0.0,51.0,Low,Not Recommended
1,Thiruvananthapuram,695033,Panniyur 1,24.1,39.0,73.7,Medium,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 1,24.8,34.5,68.2,Medium,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 1,28.1,28.9,66.3,Medium,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 1,28.6,58.2,67.0,Medium,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 1,26.4,13.0,70.7,High,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 1,24.5,56.8,56.6,High,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 1,25.8,54.1,70.4,Medium,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 1,22.8,86.7,65.9,High,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 1,24.8,72.6,76.2,High,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 1,26.4,32.9,73.5,Medium,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 1,25.7,64.5,84.1,Medium,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 1,25.3,84.2,71.1,Medium,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 1,27.8,17.6,49.4,Low,Not Recommended
2,Thiruvananthapuram,695024,Panniyur 1,24.3,0.0,83.5,Medium,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 1,27.7,3.6,76.3,High,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 1,24.3,46.1,80.2,High,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 1,25.6,55.4,70.6,Medium,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 1,27.5,108.1,70.4,High,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 1,22.2,98.3,69.4,High,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 1,23.1,73.9,82.8,High,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 1,23.8,54.8,66.6,High,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 1,27.1,76.1,49.8,Medium,Not Recommended
2,Thiruvananthapuram,695033,Panniyur 1,26.0,55.9,66.4,Medium,Plant with Care
3,Thiruvananthapuram,695001,Panniyur 1,30.5,66.8,74.8,Low,Not Recommended
3,Thiruvananthapuram,695001,Panniyur 1,35.7,120.7,64.7,Medium,Not Recommended
3,Thiruvananthapuram,695001,Panniyur 1,32.0,111.8,68.9,High,Plant with Care
3,Thiruvananthapuram,695001,Panniyur 1,30.3,78.4,78.8,Low,Not Recommended
3,Thiruvananthapuram,695001,Panniyur 1,29.8,181.9,70.4,Medium,Recommended
3,Thiruvananthapuram,695014,Panniyur 1,31.6,166.8,59.6,High,Plant with Care
3,Thiruvananthapuram,695014,Panniyur 1,29.5,203.5,83.0,High,Recommended
3,Thiruvananthapuram,695014,Panniyur 1,29.3,144.4,73.3,High,Plant with Care
3,Thiruvananthapuram,695014,Panniyur 1,34.4,71.3,66.3,Medium,Plant with Care
3,Thiruvananthapuram,695014,Panniyur 1,29.5,35.2,75.1,Medium,Plant with Care
3,Thiruvananthapuram,695024,Panniyur 1,32.1,114.0,76.9,Low,Not Recommended
3,Thiruvananthapuram,695024,Panniyur 1,32.3,97.2,71.4,Medium,Plant with Care
3,Thiruvananthapuram,695024,Panniyur 1,29.1,75.0,78.6,Low,Not Recommended
3,Thiruvananthapuram,695024,Panniyur 1,31.0,182.4,58.1,Low,Not Recommended
3,Thiruvananthapuram,695024,Panniyur 1,31.8,215.5,69.1,High,Plant with Care
3,Thiruvananthapuram,695033,Panniyur 1,34.7,172.3,74.2,Low,Not Recommended
3,Thiruvananthapuram,695033,Panniyur 1,30.0,90.7,71.7,Low,Not Recommended
3,Thiruvananthapuram,695033,Panniyur 1,32.2,112.7,63.8,Low,Not Recommended
3,Thiruvananthapuram,695033,Panniyur 1,32.6,61.3,76.2,Low,Not Recommended
3,Thiruvananthapuram,695033,Panniyur 1,29.6,179.5,73.1,High,Recommended
4,Thiruvananthapuram,695001,Panniyur 1,31.3,120.7,75.3,Medium,Plant with Care
4,Thiruvananthapuram,695001,Panniyur 1,31.8,88.4,63.2,Low,Not Recommended
4,Thiruvananthapuram,695001,Panniyur 1,37.1,145.1,76.5,Low,Not Recommended
4,Thiruvananthapuram,695001,Panniyur 1,32.4,125.5,89.0,High,Plant with Care
4,Thiruvananthapuram,695001,Panniyur 1,30.8,89.6,77.3,Low,Not Recommended
4,Thiruvananthapuram,695014,Panniyur 1,31.4,38.0,68.5,Low,Not Recommended
4,Thiruvananthapuram,695014,Panniyur 1,31.0,66.8,65.8,Medium,Plant with Care
4,Thiruvananthapuram,695014,Panniyur 1,32.4,191.9,72.4,Low,Not Recommended
4,Thiruvananthapuram,695014,Panniyur 1,30.3,206.3,72.8,Medium,Plant with Care
4,Thiruvananthapuram,695014,Panniyur 1,33.5,60.1,65.0,Medium,Plant with Care
4,Thiruvananthapuram,695024,Panniyur 1,33.3,116.7,77.1,Low,Not Recommended
4,Thiruvananthapuram,695024,Panniyur 1,33.9,111.1,75.7,High,Plant with Care
4,Thiruvananthapuram,695024,Panniyur 1,33.3,43.1,77.9,Low,Not Recommended
4,Thiruvananthapuram,695024,Panniyur 1,30.4,73.0,72.3,Medium,Plant with Care
4,Thiruvananthapuram,695024,Panniyur 1,32.2,37.6,71.5,Low,Not Recommended
4,Thiruvananthapuram,695033,Panniyur 1,33.2,138.4,80.8,High,Plant with Care
4,Thiruvananthapuram,695033,Panniyur 1,32.4,62.5,79.3,Medium,Plant with Care
4,Thiruvananthapuram,695033,Panniyur 1,29.8,70.7,73.9,Low,Not Recommended
4,Thiruvananthapuram,695033,Panniyur 1,31.6,140.8,83.5,High,Plant with Care
4,Thiruvananthapuram,695033,Panniyur 1,32.6,97.9,92.9,Low,Not Recommended
